Planning Area,Subzone,Total,0  4,5  9,10  14,15  19,20  24,25  29,30  34,35  39,40  44,45  49,50  54,55  59,60  64,65  69,70  74,75  79,80  84,85 & Over
Ang Mo Kio,Total,174770,6790,7660,8290,9320,10310,11170,12250,13070,13710,13000,14010,13800,12980,11050,6670,5140,3250,2300
Bedok,Total,289750,11690,13400,14750,16930,19450,19860,19270,20850,22520,21460,23430,23380,20590,16750,9310,7330,4760,4010
Bishan,Total,90700,3430,4330,4710,5520,6860,6460,5720,6000,7070,6800,7540,7700,6360,4860,2730,2140,1370,1090
Boon Lay,Total,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bukit Batok,Total,139270,5510,6890,7970,9240,10070,10460,9760,9940,10980,11310,12190,11770,9370,5990,3060,2230,1450,1090
Bukit Merah,Total,155840,7210,7480,6640,6860,7700,9340,11070,12840,12730,11320,11320,11740,10920,10030,6480,5590,3540,3010
Bukit Panjang,Total,139030,7330,7630,8460,9420,10400,10980,10690,10010,11180,10540,11620,10680,7880,5190,2740,2000,1290,1010
Bukit Timah,Total,74470,3140,4660,4810,4820,4980,4310,3770,4940,6630,6330,5820,5330,4550,3930,2380,1880,1210,1000
Central Water Catchment,Total,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Changi,Total,2530,180,230,220,150,130,100,170,240,290,220,140,120,90,90,50,30,30,40
Changi Bay,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Choa Chu Kang,Total,174330,7170,9340,11380,14820,15230,11940,11540,11960,13710,15990,16190,12910,8830,5650,2990,2220,1430,1040
Clementi,Total,91630,3910,4420,4480,4690,4850,5820,6630,7310,7600,6950,6960,6550,6630,6200,3350,2600,1480,1200
Downtown Core,Total,3720,120,100,100,120,140,210,330,370,360,330,280,280,250,250,140,140,70,130
Geylang,Total,116960,4490,5350,5420,6320,7540,8130,8180,8720,9000,8790,9610,9620,8070,6460,3890,3290,2240,1850
Hougang,Total,222310,8390,10010,11670,14390,16830,16650,15010,14840,16700,17010,19620,19270,15060,10830,5970,4670,3050,2340
Jurong East,Total,84980,3290,3880,4550,4970,5760,6570,6360,6070,6530,6240,6720,7020,6420,4760,2360,1690,1040,760
Jurong West,Total,272660,13600,15900,16700,18020,19070,19930,22540,23410,23070,21680,20670,19100,15870,10820,5250,3550,2080,1410
Kallang,Total,101210,4340,4440,4480,4750,5120,6120,7250,8260,8610,7770,7820,7840,7060,6100,3910,3400,2130,1810
Lim Chu Kang,Total,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mandai,Total,2120,90,120,150,170,150,140,150,170,190,180,170,140,90,80,50,40,20,10
Marina East,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marina South,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
